"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Udm","Metraje","Formato","Tipo","Tipologia ","Color","Acabado","Corte","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100167","EVOKE 62 BLACK 60X120 2 PZ 1.42 M2","M2",1.42,"60X120","Cerámico","Piedra","Negro","Mate","Rectificado"," $559.00 "," $393.66 ",26.59%," $289.00 "," $269.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",522715254007911,"PISO MARMARA PL BLANCO 50X100 2 M2","M2",2,"50x100","Cerámico","Marmol","Blanco","Pulido","Rectificado"," $729.00 "," $364.50 ",17.97%," $299.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522975254125911,"PISO RAFAELLO PL CREMA 50X100 2 M2","M2",2,"50x100","Cerámico","Marmol","Beige","Pulido","Rectificado"," $729.00 "," $364.50 ",17.97%," $299.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522214254305911,"PISO SOBERANO PL NERO 50X100 2 M2","M2",2,"50x100","Cerámico","Marmol","Negro","Pulido","Rectificado"," $729.00 "," $364.50 ",17.97%," $299.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522974254021911,"PISO ALPINO PL ORO 50X100 2 M2","M2",2,"50x100","Cerámico","Marmol","Blanco","Pulido","Rectificado"," $729.00 "," $364.50 ",17.97%," $299.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522975254011911,"PISO RAFAELLO PL GRIS 50X100 2 M2","M2",2,"50x100","Cerámico","Marmol","Gris","Pulido","Rectificado"," $729.00 "," $364.50 ",17.97%," $299.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522839353007271,"PISO TUNDRA BLANCO 60 CM X 120CM 1.44 M2/CAJA PUL Y RECT","M2",1.44,"60x120","Porcelánico","Marmol","Blanco","Pulido","Rectificado"," $709.00 "," $492.36 ",23.02%," $379.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522990442067441,"PISO EVANDER WHITE 60x120 1.44 M2 PUL Y RECT","M2",1.44,"60x120","Porcelánico","Marmol","Blanco","Pulido","Rectificado"," $499.00 "," $346.53 ",13.72%," $299.00 "," $289.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100120","PISO CANTABRIA BEIGE 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","beige","Mate","Rectificado"," $559.00 "," $393.66 ",24.05%," $299.00 "," $259.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100178","PISO EVOKE GREY 60X120 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","Gris","Mate","Rectificado"," $559.00 "," $393.66 ",26.59%," $289.00 "," $249.00 "
